Collection_Code,Formula,Prototype
629920,DyMn2,Laves(2H)#MgZn2
679871,IrO2,Rutile#TiO2
108579,Mg2Ni,Mg2Ni
89286,SiO2,Quartz(high)#SiO2
608078,HfAl2,Laves(2H)#MgZn2
157055,TbCo2,Laves(cub)#MgCu2
15939,CoCl2,CdCl2(3R)
611529,UAs2,UP2#UAs2
85494,TiO2,Rutile#TiO2
624592,Co2P,TiNiSi#MgSrSi
36138,NaC2,NaHC2
642617,LuTc2,Laves(2H)#MgZn2
103362,DyRh2,Laves(cub)#MgCu2
622685,DyCo2,MgCu2(filled)-frame
621398,CeIr2,Laves(cub)#MgCu2
610145,Cr2As,Cu2Sb
58193,TmAl2,Laves(cub)#MgCu2
153541,NbS2,NbS2(SmS)1.19_misfit(NbS2_part)
644514,ZrMo2,Laves(cub)#MgCu2
633944,TiFe2,Laves(2H)#MgZn2
31643,USi2,ThSi2
603139,GdCu2,CeCu2
68736,MnF2,Rutile#TiO2
167182,TmNi2,TmNi2
100119,ErC2,CaC2-I(I4/mmm)
53978,CaF2,Fluorite#CaF2
53993,NiO2,Brucite#Mg(OH)2
637277,NdGe2,ThSi2
94566,TiO2,Anatase#TiO2
56155,TiO2,Brookite#TiO2
634018,UFe2,Laves(cub)#MgCu2
64681,Te2Au,AuTe2
169622,TiO2,Rutile#TiO2
640955,Sb2Ir,FeAsS#CoSb2
169636,TiO2,Rutile#TiO2
42134,BaS2,BaS2
103389,EuGa2,AlB2
603878,AsRh2,TiNiSi#MgSrSi
642824,Mg2Si,Fluorite#CaF2
53987,CoF2,Rutile#TiO2
657597,Li2S,Fluorite#CaF2
280986,NbS2,NbS2(SmS)1.19_misfit(NbS2_part)
249576,TiSb2,CuAl2
423292,Sm2Sb,La2Sb
41373,Te2Pt,EuGe2#PtTe2
622120,CeSe2,PrOI
52469,USi2,AlB2
638178,HfV2,MgCu2(filled)-frame
43564,Re2P,Re2P
1730,NdAs2,NdAs2
622646,DyCo2,Laves(cub)#MgCu2
56169,Sr2Rh,Sr2IrH5+x
645805,NdRu2,Laves(2H)#MgZn2
41401,FeS2,CoAsS
180902,SiO2,Cristobalite#SiO2
411234,Ti2Se,Sc2Te
55474,SiO2,Faujasite-frame#K92Al92Si100O384
89279,SiO2,Quartz(low)#SiO2
93551,SiO2,Rutile#TiO2
23292,PbO2,Rutile#TiO2
244050,MoO2,MoO2#VO2
423290,La2Sb,La2Sb
31696,BeCl2,SiS2(Ibam)
18210,D2Mg,Rutile#TiO2
196804,ZrTe2,CdI2(hP3)
629063,Cu2Se,SmF2
108584,Mg2Si,Fluorite#CaF2
151397,FeSb2,Marcasite#FeS2(oP6)
169608,TiH2,ThH2
84039,SiO2,Zeolite-ZSM-5(P21/n)
180900,SiO2,Cristobalite#SiO2
633985,TmFe2,Laves(2H)#MgZn2
52331,VSb2,CuAl2
56157,CoSe2,Pyrite#FeS2(cP12)
198801,Cr2N,V2N
625671,Zr2Co,CuAl2
4110,VO2,Rutile#TiO2
626378,NbCr2,Laves(cub)#MgCu2
657581,PrGa2,AlB2
53991,MnO2,Brucite#Mg(OH)2
638152,ZrGe2,ZrSi2
679668,BaF2,Fluorite#CaF2
182695,Mg2Sn,Laves(cub)#MgCu2
649973,PuSi2,ThSi2
53985,MnF2,Rutile#TiO2
632319,HoFe2,Laves(cub)#MgCu2
625665,Zr2Co,CuAl2
259029,Ag2S,Ag2S(LT)
633761,FeSn2,CuAl2
42136,Ca2Bi,La2Sb
169634,TiO2,Rutile#TiO2
621365,Ce2In,Ni2In#Co1.75Ge
106218,ZrW2,Laves(cub)#MgCu2
252197,SnS2,CdI2(hP3)
610153,Cr2As,ZrNiAl#Fe2P
650577,RuS2,Pyrite#FeS2(cP12)
100669,MoSe2,MoS2(4H)
638807,HfRe2,Laves(2H)#MgZn2
680226,FeS2,Marcasite#FeS2(oP6)
652360,TbSi2,GdSi1.4
642615,LuSn2,ZrSi2
56816,EuI2,SrI2
84950,BaGe2,BaSi2(oP24)
37224,P2W,OsGe2
606057,AlB2,AlB2
626387,NbCr2,Laves(cub)#MgCu2
150738,ErFe2,Laves(cub)#MgCu2
167194,GeS2,SiS2
607349,ErAl2,Laves(cub)#MgCu2
158364,SnPd2,Co2Si
627099,Cs2Se,TiNiSi#MgSrSi
68734,SiO2,Zeolite-ZSM-5(Pnma)-frame#Si96O192
652412,TiSi2,TiSi2
60368,CaF2,Fluorite#CaF2
79639,GeO2,Quartz(low)#SiO2
27745,SiO2,Quartz(low)#SiO2
198154,NbB2,AlB2
630297,DySi2,GdSi1.4
83965,Hf2Te,Nb2Se
56194,YH2,Fluorite#CaF2
76244,AlO2,Diaspore#AlO(OH)
618533,NdC2,CaC2-I(I4/mmm)
24264,PbI2,"CdI2(hP9,P3m1)"
611271,As2Rh,FeAsS#CoSb2
89290,SiO2,Quartz(high)#SiO2
15907,H2O,H2O(II)
74335,NbSe2,NbS2
638185,HfV2,MgCu2(filled)-frame
607375,ErAl2,Laves(cub)#MgCu2
36106,ReSe2,ReSe2
615771,ZrB2,AlB2
615765,ZrB2,AlB2
107648,DyAl2,Laves(cub)#MgCu2
89284,SiO2,Quartz(high)#SiO2
42693,CdI2,CdI2(hR30)
656648,ZrV2,Laves(cub)#MgCu2
607361,ErAl2,Laves(cub)#MgCu2
629922,DyMn2,Laves(cub)#MgCu2
151368,Mg2Sn,Fluorite#CaF2
55489,SiO2,Faujasite-frame#K92Al92Si100O384
611265,AsRh2,Fluorite#CaF2
104427,HoNi2,Laves(cub)#MgCu2
123098,ZrO2,Zirconia#ZrO2(HT)
60432,Li2S,Fluorite#CaF2
624989,CoSe2,Pyrite#FeS2(cP12)
626146,HfCr2,Laves(2H)#MgZn2
648847,SiPd2,ZrNiAl#Fe2P
80049,ZrO2,Baddeleyite#ZrO2(mP12)
53211,CrSb2,Marcasite#FeS2(oP6)
655816,HgO2,HgO2
759786,MgF2,CaCl2
36489,CdI2,CdI2(hP42)
254733,AgF2,AgF2
42308,CdI2,CdI2(hP57)
81425,D2Ca,Cotunnite#PbCl2
626152,HfCr2,Laves(2H)#MgZn2
647590,UO2,Fluorite#CaF2
84575,RuO2,Rutile#TiO2
44751,FeSe2,Marcasite#FeS2(oP6)
641687,LaPt2,Laves(cub)#MgCu2
42320,CdI2,CdI2(hR30)
628625,CuP2,CuP2
53239,CsO2,CaC2-IV(Fm-3m)#KCN
410316,SrC2,CaC2-I(I4/mmm)
6277,AgF2,AgF2
10314,CrSe2,NbTe2
190093,YAg2,AlCr2#MoSi2
59714,SeO2,SeO2(oP24)
621601,CeNi2,Laves(cub)#MgCu2
600624,Mo2C,Fe2N-zeta
649542,PtS2,BaSi2#EuGe2
62769,VF2,Rutile#TiO2
614889,NbB2,AlB2
2944,HoO2,YOOH
198424,PuZr2,CaHg2
759745,SnO2,CaCl2
58387,TmAu2,AlCr2#MoSi2
613880,Fe2B,CuAl2
609600,UAl2,Laves(cub)#MgCu2
650775,YRu2,Laves(2H)#MgZn2
646117,Ni2P,Mn2P
158600,GeO2,CaCl2
102268,CeRh2,Laves(cub)#MgCu2
31325,TiO2,Rutile#TiO2
759751,SnO2,CaCl2
423723,BaN2,CaC2-II(C12/c1)#ThC2
20228,MnO2,MnO2
652610,ZrSi2,ZrSi2
198430,CeRu2,Laves(cub)#MgCu2
20566,CoO2,CrOOH(R3-m)#Na(HF2)
643735,Mn2Sn,Ni2In#Co1.75Ge
186626,FeSb2,Marcasite#FeS2(oP6)
